species_id	lv_thrust	lv_cytosis	lv_size	lv_resist_cold	lv_resist_hot	lv_density	lv_hunt	lv_poison	lv_shell	lv_o2_hold	lv_co2_hold	lv_photosynthesis	lv_nitrogen_fix	lv_hydrogen_usage	lv_reproduction
oxyuser	0	0	2	0	3	-3	0	0	1	4	5	5	4	2	1
non_oxygen	3	5	2	5	0	2	0	0	2	0	0	0	0	0	3
hot_world	1	5	5	0	5	0	0	0	0	0	0	0	0	0	5
나	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3
회짱이	4	1	1	5	5	0	1	1	1	1	2	2	2	2	2
태화성	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5
CharlesDarwin	5	3	0	3	3	1	3	0	3	3	0	4	0	2	4
def	3	3	2	1	4	0	4	0	5	4	3	3	3	2	4
ㅇㅅㅇ	4	0	1	5	0	0	0	5	0	0	5	5	0	0	5
sunrise	5	5	1	5	5	3	4	0	3	0	0	0	3	5	4
Good	4	3	1	3	2	-2	2	2	1	2	2	3	1	1	2
Potato	3	5	1	3	2	-3	1	5	2	3	1	5	1	5	5
11	2	4	1	4	3	1	2	2	2	4	4	4	3	3	5
베트남쌀국수	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Jacqueline	5	0	0	1	1	1	0	5	5	0	4	3	0	5	1
RAY_HUNTER	4	3	3	5	5	-2	3	2	3	1	1	0	4	5	5
쥬쥬	5	2	2	4	1	2	1	2	4	4	4	0	3	2	3
뿌뿌	5	5	1	4	5	2	5	5	0	2	4	1	0	0	5
0511	5	2	0	3	3	-2	0	0	0	0	2	3	1	0	5
hahahoho	5	3	0	3	2	0	3	0	1	2	2	2	2	2	3
얌냠	5	3	1	4	1	2	2	2	5	2	0	0	3	0	5
a	2	3	2	5	5	-1	4	5	4	5	5	5	5	5	5
choi	4	2	2	4	1	1	4	2	3	4	2	3	3	2	2
최원진	5	0	0	5	5	-3	0	0	0	1	1	1	1	1	5
Goguma	1	2	0	4	5	3	3	1	4	3	1	1	5	1	3
